id,mesto_na_lestvici,izvajalec,naslov,tednov_na_lestvici,najvišje_mesto,tednov,povp_mesto,feat
271,15,J. Cole,Motiv8,2,15,2,43.0,False
272,20,J. Cole,1985 (Intro To The Fall Off),2,20,2,49.5,False
273,28,J. Cole Featuring kiLL edward,The Cut Off,1,28,1,28,True
274,30,J. Cole,Brackets,1,30,1,30,False
275,34,Avicii,Wake Me Up!,54,4,1,34,False
276,41,J. Cole,Window Pain (Outro),1,41,1,41,False
277,46,J. Cole Featuring kiLL edward,Friends,1,46,1,46,True
278,47,J. Cole,Once An Addict (Interlude),1,47,1,47,False
279,53,J. Cole,Intro,1,53,1,53,False
280,57,"Khalid, Ty Dolla $ign & 6LACK",OTW,18,57,18,83.88888888888889,True
281,72,Sugarland Featuring Taylor Swift,Babe,2,72,2,83.5,True
282,74,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,21,36,21,47.095238095238095,True
283,81,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,9,36,9,64.88888888888889,True
284,95,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,13,66,13,78.6923076923077,True
285,98,Rae Sremmurd & Travis Scott,Close,1,98,1,98,True
286,7,Post Malone,Better Now,34,3,34,12.176470588235293,False
287,11,Post Malone,Paranoid,6,11,6,57.666666666666664,False
288,14,Post Malone,Rich & Sad,6,14,6,56.666666666666664,False
289,15,Post Malone Featuring Swae Lee,Spoil My Night,5,15,5,60.0,True
290,16,Post Malone Featuring Nicki Minaj,Ball For Me,14,16,14,61.357142857142854,True
291,17,Post Malone,Stay,4,17,4,53.75,False
292,20,Post Malone Featuring G-Eazy & YG,Same Bitches,3,20,3,59.666666666666664,True
293,23,Post Malone,Zack And Codeine,3,23,3,58.666666666666664,False
294,24,Post Malone,Over Now,3,24,3,59.0,False
295,29,Post Malone,Takin' Shots,3,29,3,64.33333333333333,False
296,40,Post Malone,92 Explorer,3,40,3,69.0,False
297,46,Post Malone,Otherside,2,46,2,67.5,False
298,47,Post Malone,Blame It On Me,2,47,2,70.0,False
299,57,Post Malone,Sugar Wraith,1,57,1,57,False
300,62,Mason Ramsey,Famous,2,62,2,78.5,False
301,73,Post Malone,Jonestown (Interlude),1,73,1,73,False
302,77,YoungBoy Never Broke Again,Overdose,9,42,9,66.66666666666667,False
303,85,Kanye West Featuring T.I.,Ye vs The People,1,85,1,85,True
304,1,Childish Gambino,This Is America,17,1,17,38.64705882352941,False
305,16,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,5,16,5,57.8,True
306,58,Luke Combs,Beautiful Crazy,6,58,6,84.16666666666667,False
307,65,Shawn Mendes Featuring Khalid,Youth,2,65,2,70.5,True
308,74,Charlie Puth Featuring Kehlani,Done For Me,9,53,9,63.333333333333336,True
309,80,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,3,79,3,85.0,True
310,97,Brett Young,Mercy,20,29,20,55.6,False
311,98,YoungBoy Never Broke Again,Preach,1,98,1,98,False
312,46,Playboi Carti Featuring Lil Uzi Vert,Shoota,4,46,4,72.75,True
313,49,Lil Baby & Drake,Yes Indeed,29,6,29,21.344827586206897,True
314,50,Selena Gomez,Back To You,26,18,26,29.576923076923077,False
315,74,Juice WRLD,Lucid Dreams,32,2,32,10.28125,False
316,77,Reik Featuring Ozuna & Wisin,Me Niego,3,77,3,85.66666666666667,True
317,91,Lil Skies,Lust,4,87,4,91.5,False
318,92,Juice WRLD,All Girls Are The Same,20,41,20,60.45,False
319,10,BTS,Fake Love,6,10,6,53.5,False
320,68,Kevin Gates,Change Lanes,1,68,1,68,False
321,73,Kris Wu,Like That,1,73,1,73,False
322,79,Lil Baby,Southside,1,79,1,79,False
323,80,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,6,74,6,85.0,True
324,82,Kevin Gates,Let It Sing,1,82,1,82,False
325,83,Pharrell Williams x Camila Cabello,Sangria Wine,1,83,1,83,False
326,84,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,4,78,4,87.25,True
327,86,NAV Featuring Travis Scott,Champion,1,86,1,86,True
328,98,Sam Hunt,Downtown's Dead,2,94,2,96.0,False
329,99,Backstreet Boys,Don't Go Breaking My Heart,10,63,10,77.9,False
330,19,Drake,I'm Upset,16,7,16,45.5,False
331,45,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),8,45,8,77.75,True
332,46,6ix9ine Featuring DJ SPINKING,TATI,5,46,5,56.6,True
333,65,Pusha T,Infrared,1,65,1,65,False
334,66,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,24,16,24,39.291666666666664,True
335,73,Pusha T,If You Know You Know,1,73,1,73,False
336,75,Pusha T Featuring Kanye West,What Would Meek Do?,1,75,1,75,True
337,80,Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero,1,80,1,80,True
338,82,Tyga Featuring Offset,Taste,29,8,29,24.413793103448278,True
339,89,Billie Eilish & Khalid,Lovely,8,78,8,83.25,True
340,93,Jake Owen,I Was Jack (You Were Diane),11,43,11,72.18181818181819,False
341,94,Maroon 5 Featuring Cardi B,Girls Like You,30,1,30,6.966666666666667,True
342,98,Panic! At The Disco,High Hopes,20,5,20,38.8,False
343,100,Pusha T,The Games We Play,1,100,1,100,False
344,8,Kanye West,Yikes,5,8,5,56.8,False
345,11,Kanye West,All Mine,9,11,9,64.0,False
346,16,Kanye West Featuring PARTYNEXTDOOR,Ghost Town,2,16,2,38.0,True
347,24,Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,2,24,2,58.0,True
348,27,Kanye West,Violent Crimes,2,27,2,56.0,False
349,28,Kanye West,I Thought About Killing You,1,28,1,28,False
350,36,Kanye West,No Mistakes,1,36,1,36,False
351,55,Florida Georgia Line,Simple,20,32,20,43.9,False
352,81,Luke Combs,Must've Never Met You,1,81,1,81,False
353,85,Gorillaz Featuring George Benson,Humility,1,85,1,85,True
354,89,Weezer,Africa,15,51,15,68.4,False
355,96,5 Seconds Of Summer,Youngblood,29,7,29,24.689655172413794,False
356,99,Becky G + Natti Natasha,Sin Pijama,12,70,12,89.33333333333333,False
357,39,KIDS SEE GHOSTS,Reborn,2,39,2,65.0,False
358,42,KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,1,42,1,42,True
359,47,KIDS SEE GHOSTS,Feel The Love,1,47,1,47,False
360,62,KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)",1,62,1,62,False
361,67,KIDS SEE GHOSTS,Fire,1,67,1,67,False
362,69,KIDS SEE GHOSTS,Cudi Montage,1,69,1,69,False
363,73,KIDS SEE GHOSTS,KIDS SEE GHOSTS,1,73,1,73,False
364,84,Kane Brown,Lose It,20,28,20,67.35000000000001,False
365,88,Nicki Minaj Featuring Lil Wayne,Rich Sex,2,56,2,72.0,True
366,90,Lil Skies Featuring Yung Pinch,I Know You,3,79,3,87.0,True
367,13,The Carters,Apes**t,15,13,15,46.733333333333334,False
368,19,XXXTENTACION,Jocelyn Flores,20,19,4,43.5,False
369,42,XXXTENTACION,Everybody Dies In Their Nightmares,7,42,3,59.666666666666664,False
370,43,Nicki Minaj Featuring Ariana Grande,Bed,10,42,10,62.6,True
371,53,"2 Chainz, Drake & Quavo",Bigger &gt; You,2,53,2,56.5,True
372,55,BLACKPINK,DDU-DU DDU-DU,1,55,1,55,False
373,74,Kygo & Imagine Dragons,Born To Be Yours,2,74,2,84.0,True
374,77,The Carters,Boss,2,77,2,88.0,False
375,78,Martin Garrix Featuring Khalid,Ocean,5,78,5,88.0,True
376,80,XXXTENTACION,Hope,2,70,2,75.0,False
377,84,The Carters,Summer,1,84,1,84,False
378,85,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,19,32,19,63.78947368421053,True
379,95,The Carters,Nice,1,95,1,95,False
380,96,Nas Featuring Kanye West,Cop Shot The Kid,1,96,1,96,True
381,99,The Carters,Friends,1,99,1,99,False
382,58,Demi Lovato,Sober,3,47,3,53.666666666666664,False
383,65,Juice WRLD,Legends,2,65,2,79.5,False
384,88,Keith Urban Featuring Julia Michaels,Coming Home,7,50,7,72.0,True
